City,Lat,Lng,Humidity,Cloudiness,WindSpeed,Temps
ribeira grande,38.52,-28.7,68,42,21.23,61.48
albany,42.6,-73.97,50,20,12.75,55.4
solnechnyy,50.72,136.63,82,2,0.98,20.07
sabzevar,36.21,57.68,36,0,5.57,51.71
ilulissat,69.22,-51.1,63,100,6.93,28.4
girona,41.98,2.82,100,0,4.7,50.0
dodola,6.98,39.18,73,58,2.04,48.54
iqaluit,63.75,-68.51,77,20,5.82,1.4
avera,33.19,-82.53,45,1,3.98,62.6
severo-kurilsk,50.68,156.12,75,87,32.75,37.94
sur,22.57,59.53,47,0,7.49,71.2
cherskiy,68.75,161.3,88,100,5.21,7.48
half moon bay,37.46,-122.43,77,1,18.34,75.99
abu zabad,12.35,29.25,23,0,15.66,79.43
ponta do sol,32.67,-17.1,82,40,2.24,60.8
seoul,37.57,126.98,58,1,3.15,35.6
sorland,67.67,12.69,86,75,5.82,41.0
torbay,47.67,-52.73,54,75,12.75,30.0
dikson,73.51,80.55,91,0,6.44,1.67
saint george,37.1,-113.58,22,1,1.03,80.01
srednekolymsk,67.45,153.68,92,100,21.16,3.04
sinnamary,5.38,-52.95,85,95,9.46,79.48
saskylakh,71.92,114.08,91,99,5.1,-6.93
barrow,71.29,-156.79,68,90,20.8,26.6
kulunda,52.57,78.94,88,99,18.68,32.65
yellowknife,62.46,-114.35,71,75,3.36,5.0
beringovskiy,63.05,179.32,95,100,21.03,36.81
shenjiamen,29.96,122.3,65,89,9.82,63.23
coahuayana,18.73,-103.68,43,20,9.17,89.6
cedar city,37.68,-113.06,17,1,5.82,71.6
tuktoyaktuk,69.45,-133.04,85,75,12.75,10.4
aurangabad,19.88,75.33,62,0,2.04,65.79
hilo,19.73,-155.09,58,20,9.17,87.8
lisala,2.15,21.52,98,100,1.61,70.97
kitimat,54.05,-128.65,95,100,2.01,39.0
tigil,57.8,158.67,89,100,8.88,33.64
vanavara,60.34,102.28,97,100,6.67,18.18
aras,42.56,-2.36,93,90,2.24,48.0
plouzane,48.38,-4.62,93,0,8.05,46.4
taoudenni,22.68,-3.98,17,35,5.14,77.07
san patricio,28.02,-97.52,44,20,13.87,80.6
kargil,34.57,76.1,82,12,1.97,25.18
abu samrah,35.3,37.18,84,100,8.66,58.84
mandalgovi,45.76,106.27,79,43,13.29,27.54
georgetown,5.41,100.34,88,40,4.7,78.8
jalu,29.03,21.55,71,31,10.07,62.94
krasnoselkup,65.7,82.47,94,71,10.67,4.68
thompson,55.74,-97.86,100,90,4.7,28.4
pahrump,36.21,-115.98,15,0,1.99,86.0
changtu,42.78,124.1,84,0,9.53,38.89
kyren,51.68,102.14,90,96,2.93,19.08
nanortalik,60.14,-45.24,88,100,11.01,32.4
kamenka,51.32,42.77,96,88,6.22,39.99
kemijarvi,66.71,27.43,83,97,11.92,37.74
flin flon,54.77,-101.86,80,75,4.7,39.2
nome,64.5,-165.41,73,90,10.29,23.0
ulaanbaatar,47.91,106.88,79,75,2.24,23.0
sinegorye,62.08,150.48,88,100,5.44,-2.79
kitami,43.8,143.89,66,6,3.0,39.99
chokurdakh,70.63,147.92,90,4,6.46,-13.41
faya,18.39,42.45,77,0,2.06,60.8
tongren,27.72,109.19,68,100,1.95,56.68
machico,32.7,-16.77,82,40,2.24,60.8
kapaa,22.08,-159.32,74,20,10.29,84.2
praia da vitoria,38.73,-27.07,82,75,19.28,59.0
qaanaaq,77.48,-69.36,89,100,0.63,-1.53
ciudad bolivar,8.12,-63.55,79,92,10.16,79.41
dharmadam,11.78,75.43,94,75,1.12,77.0
jumla,29.27,82.18,65,0,5.06,37.98
tiksi,71.69,128.87,94,100,4.88,0.39
jamestown,42.1,-79.24,36,1,8.05,62.6
yumen,40.28,97.2,79,0,16.69,31.28
puerto madero,14.72,-92.42,74,75,6.93,86.0
shimoda,34.67,138.95,70,13,6.29,57.99
marathon,44.9,-89.77,41,1,6.93,69.8
houma,29.6,-90.72,49,1,8.05,73.4
palencia,42.42,-4.5,83,96,14.0,43.0
saint anthony,45.02,-93.22,28,1,6.93,73.4
nouadhibou,20.93,-17.03,77,0,12.75,68.0
dalvik,65.97,-18.53,45,75,24.16,46.4
mahibadhoo,3.78,72.97,74,45,5.06,82.47
tecoanapa,16.52,-98.75,61,90,6.29,82.6
pinawa,50.15,-95.88,65,36,5.79,49.21
los llanos de aridane,28.66,-17.92,72,75,11.41,66.2
qarqin,37.42,66.04,42,0,4.23,49.6
san policarpo,12.18,125.51,83,100,5.1,79.54
bathsheba,13.22,-59.52,69,20,13.87,80.6
yar-sale,66.83,70.83,97,100,8.08,17.91
cockburn town,21.46,-71.14,77,100,20.42,81.84
puerto del rosario,28.5,-13.86,72,20,5.82,66.2
winslow,35.02,-110.7,19,1,6.93,75.2
kalmunai,7.42,81.82,80,50,2.35,78.22
jiancheng,30.39,104.55,100,75,4.47,57.99
anadyr,64.75,177.48,95,40,26.84,35.6
aksarka,66.56,67.8,99,100,3.38,27.36
panaba,21.28,-88.27,88,100,15.17,75.63
matagami,49.75,-77.63,94,90,12.75,32.0
broome,42.25,-75.83,78,1,8.05,57.2
saint-georges,12.06,-61.75,74,20,14.99,82.4
oyama,36.3,139.8,87,75,2.24,60.01
hirara,24.8,125.28,73,75,19.46,73.4
pestovo,58.59,35.8,83,100,9.51,44.15
aksu,41.12,80.26,69,40,0.54,36.45
umm kaddadah,13.6,26.69,21,0,19.84,77.47
two hills,53.72,-111.75,48,40,6.93,46.4
nishihara,26.18,127.76,60,75,17.22,75.2
tokonou,9.65,-9.78,68,40,2.48,74.19
salinas,36.68,-121.66,40,1,11.41,73.99
helong,42.54,129.0,81,0,7.25,35.96
longyearbyen,78.22,15.64,74,75,17.22,33.8
rock sound,24.9,-76.2,82,99,27.87,78.46
yazman,29.12,71.74,25,0,3.98,65.39
puerto carreno,6.19,-67.49,85,100,3.27,79.93
vic,41.93,2.25,94,46,3.98,48.99
ajdabiya,30.76,20.23,64,60,6.49,67.15
la ronge,55.1,-105.28,69,74,18.34,33.8
riviere-au-renard,49.0,-64.4,46,5,4.7,28.4
haines junction,60.75,-137.51,77,97,1.12,-2.2
pafos,34.77,32.42,67,20,4.7,57.2
urumqi,43.8,87.6,59,0,2.24,37.4
anaconda,46.13,-112.94,27,1,11.41,62.6
bow island,49.87,-111.37,38,65,4.7,62.6
ust-tsilma,65.44,52.15,88,85,5.86,35.29
staryy nadym,65.61,72.68,98,100,6.98,20.32
virginia beach,36.85,-75.98,63,1,5.82,64.4
praxedis guerrero,31.37,-106.02,18,5,5.82,82.4
vila franca do campo,37.72,-25.43,77,20,14.99,59.0
griffith,41.53,-87.42,40,1,12.75,73.4
ust-ilimsk,58.0,102.66,95,100,9.98,22.59
pevek,69.7,170.31,84,99,0.74,6.91
arona,28.1,-16.68,72,40,11.41,70.0
hamilton,39.18,-84.53,39,1,11.41,69.8
devils lake,48.11,-98.87,36,1,14.99,64.4
acaponeta,22.5,-105.36,43,92,4.38,86.5
banda aceh,5.56,95.32,80,96,3.44,78.48
angren,41.02,70.14,45,0,5.48,45.23
bandarbeyla,9.49,50.81,70,4,12.03,74.89
inirida,3.87,-67.92,96,100,2.04,73.02
xining,36.62,101.77,87,85,1.68,34.18
laguna,38.42,-121.42,21,1,5.82,80.01
makushino,55.21,67.24,91,16,11.3,33.46
butaritari,3.07,172.79,73,100,11.95,81.16
neosho,36.87,-94.37,32,1,9.17,71.6
zeya,53.75,127.27,89,90,3.18,17.76
upata,8.01,-62.4,80,100,1.99,81.0
verkhovazhye,60.75,42.05,87,100,8.5,42.55
tasiilaq,65.61,-37.64,40,29,16.11,33.8
yarkovo,57.4,67.08,95,6,9.42,32.72
abilene,32.45,-99.73,31,1,17.22,78.8
high level,58.52,-117.14,72,40,9.17,17.6
okhotsk,59.38,143.3,89,65,22.1,15.13
bethel,41.37,-73.41,50,1,4.7,57.2
mardan,34.2,72.05,72,5,4.7,59.0
upernavik,72.79,-56.15,95,100,8.9,18.41
rawlins,41.79,-107.24,20,1,21.92,64.4
klaksvik,62.23,-6.59,100,77,38.03,50.0
sao filipe,14.9,-24.5,81,73,9.64,77.23
boulder,40.08,-105.35,17,1,10.29,77.0
ugoofaaru,5.67,73.0,68,5,3.31,81.66
shar,49.59,81.05,86,100,9.01,28.89
veraval,20.9,70.37,59,0,6.76,78.51
trifesti,47.45,27.52,100,33,0.63,41.0
clyde river,70.47,-68.59,59,20,16.11,1.4
abha,18.22,42.51,77,0,3.8,60.8
qasigiannguit,68.82,-51.19,63,100,6.93,28.4
victoria,22.29,114.16,68,24,3.0,71.01
calabozo,8.92,-67.43,93,99,5.03,76.64
zyryanka,65.75,150.85,91,100,25.03,-3.77
kapoeta,4.77,33.59,43,42,9.73,82.08
mamallapuram,12.63,80.17,94,40,2.24,78.8
ostrovnoy,68.05,39.51,82,76,19.66,38.68
waddan,29.16,16.14,46,70,7.23,63.14
goderich,43.75,-81.72,48,0,16.11,62.6
rauma,61.13,21.51,87,20,6.93,42.8
nurota,40.56,65.69,35,0,4.7,42.8
durango,24.83,-104.83,29,42,6.53,69.6
gorontalo,0.54,123.06,81,0,1.5,79.41
marawi,8.0,124.29,91,99,5.01,75.0
lompoc,34.64,-120.46,49,1,16.11,73.99
takoradi,4.88,-1.76,85,42,5.61,79.45
lagoa,39.05,-27.98,73,64,19.66,60.69
baykit,61.67,96.37,94,100,3.04,18.43
horodnytsya,50.81,27.32,87,100,5.57,43.36
bakel,14.9,-12.46,22,10,1.3,83.71
berbera,10.44,45.01,61,0,0.94,77.74
dakar,14.69,-17.44,88,0,11.68,78.8
straumen,63.87,11.3,70,75,19.46,46.99
margate,51.38,1.39,66,1,7.25,51.01
norman wells,65.28,-126.83,76,75,3.36,-5.8
naze,28.37,129.48,68,40,18.34,69.8
bonfim,3.08,-59.95,59,77,5.41,85.51
son la,21.32,103.9,92,96,2.08,58.78
nikolskoye,59.7,30.79,75,75,8.95,46.4
yakeshi,49.28,120.73,96,80,5.66,11.52
raudeberg,61.99,5.14,87,75,25.28,48.2
abeche,13.83,20.83,22,2,9.57,78.64
erdenet,49.03,104.08,97,100,5.82,23.41
hambantota,6.12,81.12,100,20,1.12,75.2
roald,62.58,6.13,81,100,29.97,48.2
mokrous,51.23,47.52,67,39,6.4,42.03
yavatmal,20.4,78.13,49,0,1.57,62.46
chapais,49.78,-74.85,92,90,11.41,23.0
kaduqli,11.02,29.72,36,0,7.49,80.26
kavaratti,10.57,72.64,76,55,7.7,82.45
samana,19.21,-69.34,88,40,8.52,82.4
katsuura,35.13,140.3,54,20,12.75,55.4
stephenville,32.22,-98.2,43,1,14.43,73.99
college,64.86,-147.8,75,75,1.59,-16.6
portland,45.52,-122.68,82,75,5.82,66.99
aljezur,37.32,-8.8,70,98,5.12,55.24
melfi,41.0,15.65,90,1,2.06,51.01
ferme-neuve,46.7,-75.45,80,87,3.36,39.2
fairbanks,64.84,-147.72,75,20,1.41,-16.6
prince rupert,54.32,-130.32,87,90,12.75,46.4
podosinovets,60.28,47.07,92,100,7.63,39.61
kaman,27.65,77.27,27,0,2.55,65.77
russellville,35.28,-93.13,40,1,3.36,69.8
talnakh,69.49,88.4,84,0,2.24,-0.4
bonavista,48.65,-53.11,79,75,6.93,30.0
port hardy,50.7,-127.42,93,75,3.36,53.6
cabo san lucas,22.89,-109.91,36,5,10.29,91.4
murgab,37.5,61.97,52,0,4.7,44.6
provideniya,64.38,-173.3,86,90,20.13,37.4
hami,42.8,93.45,67,85,1.77,37.11
elban,50.1,136.51,78,27,4.92,23.36
sisimiut,66.94,-53.67,94,100,13.49,25.95
riyadh,24.69,46.72,39,0,4.5,62.6
kungurtug,50.6,97.52,88,41,2.42,8.94
bilma,18.69,12.92,23,0,6.02,70.92
pyshchug,58.89,45.71,97,100,8.05,41.07
konstantinovka,49.62,127.98,91,45,4.72,19.92
dalbandin,28.89,64.41,35,0,6.2,54.57
pangnirtung,66.15,-65.71,60,20,14.99,6.8
khorinsk,52.17,109.77,95,96,2.26,18.32
marienburg,54.04,19.03,100,26,10.13,42.01
biltine,14.53,20.92,22,16,9.08,77.07
bani walid,31.76,13.99,54,46,4.74,62.82
saint-augustin,51.23,-58.65,77,97,14.07,27.32
liusha,27.21,108.59,80,100,1.7,51.12
lipari,38.47,14.95,78,96,7.0,60.01
gouyave,12.16,-61.73,74,20,14.99,82.4
qaqortoq,60.72,-46.03,58,100,2.24,30.2
khatanga,71.97,102.5,90,8,7.85,-6.95
saint-francois,46.42,3.91,70,90,3.36,48.2
temir,49.14,57.13,62,68,7.11,44.96
kuala pilah,2.74,102.25,94,20,0.65,75.2
anderson,34.53,-82.65,39,1,3.36,64.4
nioro,13.35,-15.75,73,9,6.38,77.92
nalut,30.33,10.85,41,42,9.06,64.15
sitka,57.05,-135.33,75,90,9.17,41.0
sabha,27.04,14.43,36,41,7.09,65.91
bubaque,11.28,-15.83,71,23,10.76,84.2
vardo,70.37,31.11,75,75,18.34,41.0
marzuq,14.4,46.47,31,0,1.99,58.28
grand forks,47.94,-97.43,26,75,16.11,69.8
tashtyp,52.79,89.9,90,100,16.55,29.39
leh,34.17,77.58,70,20,4.47,26.06
omsukchan,62.53,155.8,85,98,5.84,-7.89
boda,4.32,17.47,88,66,2.93,72.28
kodiak,57.79,-152.41,86,90,12.75,32.0
aleksandrovka,46.84,32.76,89,0,10.0,49.98
lere,10.39,8.57,45,86,4.5,73.18
arlit,18.74,7.39,19,65,6.42,78.67
srivardhan,18.03,73.02,62,0,5.93,76.21
san cristobal,7.77,-72.22,78,40,4.7,80.6
balkanabat,39.51,54.37,25,88,12.15,62.35
sikeston,36.88,-89.59,45,1,4.7,69.8
karasjok,69.47,25.51,80,1,19.46,33.8
san quintin,30.48,-115.95,52,34,12.97,75.27
ouango,4.31,22.56,91,94,1.68,71.56
bilibino,68.05,166.44,92,100,6.04,7.75
cheremukhovo,60.35,59.99,90,83,6.93,36.09
kloulklubed,7.04,134.26,88,90,9.95,78.8
digoin,46.48,3.98,70,90,3.36,48.2
paamiut,61.99,-49.67,90,88,10.69,29.23
adrar,20.5,-10.07,16,6,4.65,81.07
havelock,34.88,-76.9,63,1,5.82,63.0
salalah,17.02,54.09,60,0,3.36,73.4
leningradskiy,69.38,178.42,86,83,9.33,9.95
marsh harbour,26.54,-77.06,74,54,27.67,77.18
khandyga,62.67,135.6,92,100,2.15,-3.68
lyss,47.07,7.31,87,90,8.05,46.0
nara,34.69,135.8,87,20,2.24,51.01
trincomalee,8.57,81.23,78,69,2.01,80.44
sulecin,52.44,15.12,89,0,3.0,41.0
komsomolskiy,40.43,71.72,41,0,6.93,42.8
zhigansk,66.77,123.37,93,100,5.26,0.39
cabra,37.47,-4.44,87,0,6.93,60.01
kahului,20.89,-156.47,49,40,5.82,89.6
lala,7.97,123.75,90,94,0.4,77.05
muisne,0.6,-80.03,83,61,11.54,74.93
khani,41.96,42.96,59,40,6.93,66.2
nadym,65.53,72.52,98,100,6.73,20.97
casper,42.87,-106.31,16,1,13.87,66.99
hasaki,35.73,140.83,81,40,4.7,46.4
kharan,28.58,65.42,35,0,2.04,54.7
nemuro,43.32,145.57,70,15,20.42,43.11
vila,42.03,-8.16,71,93,10.0,48.99
limon,10.0,-83.03,88,75,4.7,80.6
ransang,8.96,117.58,77,100,3.76,80.53
tilichiki,60.47,166.1,99,100,14.7,34.97
rocklin,38.79,-121.24,23,1,4.7,80.01
fritzlar,51.13,9.28,89,0,1.12,35.01
grindavik,63.84,-22.43,81,75,16.11,42.8
puerto escondido,15.85,-97.07,66,5,3.36,86.0
manadhoo,5.77,73.38,67,3,3.11,82.0
hikari,33.95,131.95,75,40,9.17,42.8
narsaq,60.92,-46.05,58,100,2.24,30.2
ndele,8.41,20.65,56,81,3.36,74.26
hadishahr,38.84,45.66,67,75,9.17,59.0
fortuna,40.6,-124.16,77,1,13.87,70.0
uribia,11.71,-72.27,72,56,15.28,82.4
yantal,56.85,105.25,94,100,10.13,23.49
nata,8.33,-80.52,100,97,12.91,73.0
sulangan,11.14,123.72,81,100,9.37,80.65
tra vinh,9.93,106.35,93,99,3.71,73.65
cuiluan,47.72,128.65,88,0,3.11,20.03
savannah bight,16.45,-85.85,88,90,6.93,80.6
macenta,8.54,-9.47,89,8,0.58,69.6
zarubino,42.63,131.09,65,1,8.08,39.29
isabela,6.71,121.97,94,75,2.24,75.2
belyy yar,53.6,91.39,87,0,24.61,32.0
umm lajj,25.02,37.27,53,0,9.57,73.74
myaundzha,63.05,147.19,92,100,5.75,3.81
nuevo progreso,23.17,-97.95,48,1,7.0,79.0
lalmohan,22.34,90.74,79,0,8.77,75.15
oakland,42.67,-83.4,34,1,11.41,68.0
sungurlu,40.17,34.37,81,100,9.13,48.83
muyezerskiy,63.93,31.65,84,100,9.19,39.49
san lawrenz,36.06,14.2,93,20,3.36,66.99
porto-vecchio,41.59,9.28,93,0,3.36,59.0
mehran,33.12,46.16,33,0,6.93,59.0
the valley,18.22,-63.06,74,40,11.41,82.4
nizhniy odes,63.64,54.86,96,85,7.99,35.42
smolenka,52.14,113.5,85,1,4.47,15.8
kaabong,3.48,34.15,67,9,10.49,67.77
nyurba,63.28,118.33,95,96,1.79,5.92
nantucket,41.28,-70.1,76,75,13.87,55.4
vila vicosa,38.78,-7.42,91,100,1.01,54.0
iskateley,67.68,53.15,93,62,12.26,34.45
abnub,27.27,31.15,59,0,9.17,64.4
tazmalt,36.39,4.4,67,40,10.29,62.6
uthal,25.81,66.62,72,0,2.57,67.23
darhan,49.49,105.92,97,100,8.25,27.41
dharapuram,10.73,77.52,83,100,6.38,76.1
high river,50.58,-113.87,38,91,13.87,60.8
dillon,34.42,-79.37,71,1,3.02,62.01
pumiao,22.75,108.48,88,75,2.24,64.4
ginir,7.13,40.7,87,97,3.76,56.05
kushmurun,52.45,64.63,87,4,10.83,35.06
mosquera,4.71,-74.23,67,40,10.29,62.6
clifton,40.86,-74.16,47,1,5.82,62.6
ewa beach,21.32,-158.01,70,1,5.82,84.2
fort saint james,54.43,-124.25,86,100,6.91,43.63
shelburne,44.08,-80.2,51,20,13.87,62.6
djibo,14.1,-1.63,24,13,8.03,85.24
salamiyah,35.01,37.05,83,100,3.33,59.34
amapa,1.0,-52.0,94,100,5.12,74.66
fez,34.04,-5.0,87,75,6.93,57.2
olafsvik,64.89,-23.71,73,76,23.85,43.75
siniscola,40.57,9.69,93,76,1.12,51.8
gwadar,25.12,62.33,77,0,7.31,73.22
nyagan,62.14,65.39,86,90,12.88,38.16
eyl,7.98,49.82,73,46,11.41,76.64
russell,32.35,-85.2,43,1,3.85,69.8
takhtamygda,54.1,123.57,92,100,1.86,15.13
bushehr,28.97,50.84,52,0,2.77,72.54
kedrovyy,56.17,91.82,86,90,15.66,28.4
hit,33.64,42.83,33,100,6.76,71.47
berezovyy,51.67,135.7,84,52,7.29,14.65
toccoa,34.58,-83.33,54,1,3.36,59.0
gogrial,8.53,28.1,67,12,1.83,77.68
batticaloa,7.71,81.69,78,40,3.36,78.96
gaomi,36.38,119.75,93,0,2.24,53.01
palana,59.12,159.97,93,62,16.13,32.79
gidole,5.65,37.37,90,57,2.37,58.03
labuan,5.28,115.24,94,40,1.12,75.2
yinchuan,38.47,106.27,48,85,0.65,44.64
matara,5.95,80.54,87,86,4.29,77.22
shubarkuduk,49.14,56.49,57,92,6.49,47.7
timra,62.49,17.33,100,55,3.36,43.0
lata,40.16,-8.33,71,97,3.0,57.0
mayo,38.89,-76.51,67,1,8.05,59.0
vicente guerrero,19.12,-98.17,35,5,6.93,73.4
bluefields,12.01,-83.76,88,75,9.17,78.8
barcelos,41.54,-8.62,58,20,18.34,55.4
great falls,47.5,-111.3,36,1,20.8,64.99
potsdam,52.4,13.07,92,0,5.95,43.0
shahapur,19.45,73.33,65,20,9.17,78.8
turinsk,58.05,63.7,93,46,9.13,33.48
chubbuck,42.92,-112.47,12,1,16.11,69.8
acapulco,16.86,-99.89,62,5,4.7,87.8
mao,39.89,4.27,77,76,12.75,62.6
sant julia de loria,42.46,1.48,93,77,2.91,44.01
bumba,2.18,22.47,95,86,1.99,71.6
rock springs,41.59,-109.2,22,1,21.92,64.4
gambo,4.65,22.26,94,92,1.95,70.88
mana,5.66,-53.78,84,72,9.24,79.84
eskil,38.4,33.41,84,100,15.79,49.42
ixtapa,20.7,-105.2,58,5,10.29,86.0
meadow lake,34.8,-106.54,18,20,14.99,75.0
teguise,29.06,-13.56,72,75,3.36,66.2
aklavik,68.22,-135.01,84,75,4.7,5.0
monroe,43.15,-77.68,34,1,9.17,66.2
phuket,8.0,98.25,100,20,3.6,82.0
freeport,40.66,-73.58,76,1,12.75,57.99
asau,46.43,26.4,97,26,2.42,37.0
khuzhir,53.19,107.34,88,83,8.08,26.74
kafanchan,9.58,8.3,56,0,2.24,68.0
ushtobe,45.25,77.98,83,74,9.64,32.31
at-bashi,41.17,75.81,66,38,2.84,25.93
olga,43.74,135.29,77,36,4.54,31.24
belaya gora,68.53,146.42,80,38,4.83,-17.52
morlaix,48.58,-4.0,81,0,8.05,51.01
ostersund,63.18,14.64,76,99,11.41,41.0
masallatah,32.62,14.0,63,33,9.51,66.06
cap-aux-meules,47.38,-61.86,40,0,14.99,33.8
muzhi,65.37,64.67,86,39,17.6,35.58
cayenne,4.93,-52.33,100,90,3.36,77.0
kant,27.8,79.8,30,0,2.44,63.14
